Name,Description,DueDate,LengthInHours,Status
Gather tax documents,"Collect all W-2s, 1099s, mortgage interest statements, and charitable donation receipts for the year.",2022-01-08,3,Complete
Review investment portfolio,"Sit down and review investment allocations. Consider rebalancing after the recent market changes.",2022-01-14,2,Complete
Sister's birthday,"Rachel's birthday. She mentioned wanting that new Kindle Paperwhite.",2022-01-28,1.5,Complete
Pay mortgage,"Monthly mortgage payment due on the 1st. Verify the escrow amount is correct.",2022-02-01,0.25,Complete
Weekly team standup,"Monday morning standup with the dev team. Prep status update on current sprint items.",2022-02-07,0.5,Complete
Valentine's Day reservation,"Make dinner reservation at Luciano's and order flowers for delivery. Don't forget the card.",2022-02-10,1,Complete
Oil change for the Honda,"Honda is due for an oil change. Schedule at Jiffy Lube on Saturday morning.",2022-02-14,1,Complete
Car registration renewal,"Renew vehicle registration before it expires. Need emissions test first.",2022-02-18,1,Complete
Grocery run for the week,"Weekly grocery trip. Don't forget milk, eggs, bread, and the ingredients for Tuesday's stir fry.",2022-02-22,1.5,Complete
1-on-1 with manager,"Bi-weekly check-in with Janet. Discuss the current sprint blockers and Q1 goals.",2022-02-25,1,Complete
Pay electric bill,"Electric bill is due. Set up autopay so this stops being a monthly task.",2022-02-28,0.25,Complete
Spring cleaning weekend,"Deep clean the whole house. Focus on windows, baseboards, and reorganizing closets.",2022-03-05,8,Complete
Book club meeting,"Discuss this month's pick. Need to finish the last three chapters before going.",2022-03-08,2,Complete
Mom's birthday,"Pick up flowers and her favorite carrot cake from Delilah's Bakery.",2022-03-14,2,Complete
Update household budget,"Review last month's spending and adjust the budget categories for the coming month.",2022-03-16,1,Complete
Annual physical exam,"Annual checkup with Dr. Morrison at Lakeside Medical. Fasting blood work required.",2022-03-18,2,Complete
Replace windshield wipers,"Wipers are streaking badly. Pick up Bosch Icons from AutoZone.",2022-03-22,0.25,Complete
Sprint retrospective,"End-of-sprint retro with the team. Prepare notes on what went well and what to improve.",2022-03-25,1,Complete
Call the plumber about kitchen sink,"Kitchen sink is draining slowly again. Get a quote for fixing it properly this time.",2022-03-28,0.25,Complete
Submit expense report,"Submit expenses for the Q1 team offsite. Attach all receipts and the hotel folio.",2022-03-31,1,Complete
Pay credit card bill,"Credit card statement closing soon. Pay in full to avoid interest charges.",2022-04-01,0.25,Complete
Easter brunch prep,"Prepare Easter brunch menu. Need to buy ham and ingredients for deviled eggs.",2022-04-10,3,Complete
File taxes,"Complete and file federal and state tax returns. Double-check deductions before submitting.",2022-04-12,4,Complete
Dentist cleaning,"Six-month dental cleaning at Bright Smile Dental. Ask about that sensitivity on the upper left.",2022-04-15,1.5,Complete
Spring garden planting,"Plant tomatoes, peppers, basil, and zucchini in the raised beds. Amend soil first.",2022-04-17,4,Complete
Allergy meds refill,"Spring allergies are starting. Call in the refill for Zyrtec and nasal spray.",2022-04-19,0.25,Complete
Tire rotation,"Tires are due for rotation. Check the tread depth while they're at it.",2022-04-22,1,Complete
Q3 planning meeting,"Quarterly planning session with the department. Bring the draft roadmap and metrics.",2022-04-25,2,Complete
Yoga class registration,"Register for the Tuesday/Thursday yoga class at the community center.",2022-04-27,0.25,Complete
Batch cook meals for the week,"Prep chicken, rice, and roasted vegetables for easy weeknight dinners.",2022-04-30,3,Complete
AC maintenance and filter change,"Schedule AC tune-up before summer hits. Replace all HVAC filters.",2022-05-04,1,Complete
Call Mom for Mother's Day,"Don't forget to call Mom on Mother's Day. The kids made her a card.",2022-05-08,0.5,Complete
Emma's birthday party,"Emma's birthday party at the house. Need to pick up balloons and the unicorn cake.",2022-05-07,4,Complete
Attend PTA meeting,"PTA meeting at the elementary school. Agenda includes the spring fundraiser planning.",2022-05-10,1.5,Complete
Date night at Olive Garden,"Date night dinner. Reservation at 7pm. Get the babysitter confirmed.",2022-05-14,2.5,Complete
Vet appointment for Max,"Annual checkup and vaccinations for Max. He also needs his nails trimmed.",2022-05-17,1.5,Complete
Pay mortgage,"Monthly mortgage payment due. Transfer from savings to checking if needed.",2022-05-01,0.25,Complete
Weekly team standup,"Monday morning standup. Status update on the feature branch work.",2022-05-23,0.5,Complete
Set up kids' bikes for spring,"Pump up the tires, adjust the seats, and oil the chains on both kids' bikes.",2022-05-25,1,Complete
Write API documentation,"Document the new REST endpoints for the partner integration. Include example requests.",2022-05-27,4,Complete
Pressure test sprinkler system,"Turn on the sprinkler system for spring. Check all zones for leaks and broken heads.",2022-05-30,1.5,Complete
Wedding anniversary dinner,"Anniversary dinner reservation at the new French restaurant on Main Street.",2022-06-12,3,Complete
Renew car insurance,"Car insurance renewal is due. Shop around for better rates before auto-renewing.",2022-06-15,1,Complete
Pool opening and chemical balance,"Open the pool for the season. Clean the cover, test the water, and add chemicals.",2022-06-04,3,Complete
Father's Day gift shopping,"Get something for Dad for Father's Day. He could use a new cordless drill.",2022-06-14,1,Complete
Kids camp registration,"Register the kids for summer camp at Camp Pinewood. Early bird discount ends next week.",2022-06-01,0.5,Complete
Game night at Dave's house,"Bring Catan and a six-pack. Dave is making his famous chili.",2022-06-18,3,Complete
Pay electric bill,"June electric bill is higher with the AC running. Pay before the 25th.",2022-06-22,0.25,Complete
Grocery run for the week,"Big grocery trip. Stocking up for the 4th of July BBQ prep.",2022-06-28,1.5,Complete
File quarterly estimated taxes,"Calculate and pay Q2 quarterly estimated tax payment. Use last quarter's worksheet.",2022-06-30,1,Complete
4th of July BBQ shopping,"Buy burgers, hot dogs, buns, corn on the cob, and fireworks for the backyard BBQ.",2022-07-02,2,Complete
Research summer vacation options,"Look into Outer Banks, Gatlinburg, and the Gulf Coast for the family summer trip.",2022-07-06,1,Complete
Book flights to Denver,"Find and book flights for the Denver trip. Check Southwest and United for best prices.",2022-07-08,1,Complete
Deploy to staging environment,"Push the release candidate to staging and run the smoke tests. Notify QA when ready.",2022-07-11,2,Complete
Best friend Mike's birthday dinner,"Dinner at the steakhouse downtown for Mike's birthday. Split the reservation with Dave.",2022-07-19,2,Complete
Sushi dinner downtown,"Try that new sushi place on 5th Street that everyone keeps talking about.",2022-07-22,2,Complete
Reserve hotel for beach trip,"Book the hotel in Myrtle Beach for the family vacation. Need at least a two-bedroom suite.",2022-07-25,0.5,Complete
Weekly team standup,"Monday standup. Discuss the deployment timeline for the new release.",2022-07-25,0.5,Complete
Pack for camping weekend,"Pack the tent, sleeping bags, cooler, and firewood. Don't forget the bug spray this time.",2022-07-29,1.5,Complete
Pay mortgage,"August mortgage payment. The escrow went up slightly this year.",2022-08-01,0.25,Complete
Finalize quarterly budget report,"Finish the Q2 budget variance analysis and submit to finance before end of week.",2022-08-03,3,Complete
